group,n,mean_|delta_date|_valence,mean_|delta_date|_arousal
seen,692,0.08933324346889478,0.0678645894193828
unseen,1045,0.09057324642146175,0.08237121211605494
seen_own_id,601,0.08857080627375355,0.06727043090360285
seen_unknown,91,0.09436868032911322,0.07178864730931409
is_words,930,0.11951238429474254,0.11449367461315486
not_is_words,807,0.056160011891935764,0.03291337688879342
