group,layer,head,enrichment_date
seen,7,6,0.8680870532989502
seen,7,7,0.3373190462589264
seen,7,8,0.9836583733558655
seen,7,9,0.4511212408542633
seen,7,10,0.4402708411216736
seen,7,11,0.5706135034561157
seen,8,0,0.6423416137695312
seen,8,1,0.4867297410964966
seen,8,2,0.44779840111732483
seen,8,3,0.5687363743782043
seen,8,4,0.25127872824668884
seen,8,5,0.40871381759643555
seen,8,6,0.9136487245559692
seen,8,7,0.9631974697113037
seen,8,8,0.16677998006343842
seen,8,9,0.9117679595947266
seen,8,10,0.5945213437080383
seen,8,11,0.9061253070831299
seen,9,0,0.3311724066734314
seen,9,1,0.584446132183075
seen,9,2,0.5460267663002014
seen,9,3,0.2213253676891327
seen,9,4,0.8857896327972412
seen,9,5,0.6593427062034607
seen,9,6,0.43153461813926697
seen,9,7,0.5677394270896912
seen,9,8,0.40970590710639954
seen,9,9,0.639344334602356
seen,9,10,0.27944543957710266
seen,9,11,0.4400883913040161
seen,10,0,0.34017300605773926
seen,10,1,0.2857726216316223
seen,10,2,0.4787811040878296
seen,10,3,0.3206697702407837
seen,10,4,0.9014143943786621
seen,10,5,0.6284337043762207
seen,10,6,0.15255053341388702
seen,10,7,0.14189031720161438
seen,10,8,0.49058541655540466
seen,10,9,0.6971225738525391
seen,10,10,0.17225579917430878
seen,10,11,0.5361934304237366
seen,11,0,0.01102642621845007
seen,11,1,0.236688494682312
seen,11,2,0.11511122435331345
seen,11,3,0.25949999690055847
seen,11,4,0.006453926209360361
seen,11,5,0.11734562367200851
seen,11,6,0.5883062481880188
seen,11,7,0.3183653652667999
seen,11,8,0.03120691329240799
seen,11,9,0.4784657061100006
seen,11,10,0.061333734542131424
seen,11,11,0.05919443070888519
unseen,0,0,1.0619977712631226
unseen,0,1,1.0637727975845337
unseen,0,2,1.0170717239379883
unseen,0,3,1.0527126789093018
unseen,0,4,1.1668879985809326
unseen,0,5,0.8587624430656433
unseen,0,6,0.7921099066734314
unseen,0,7,0.9053047895431519
unseen,0,8,1.0248109102249146
unseen,0,9,0.9293257594108582
unseen,0,10,1.045581340789795
