group,layer,head,enrichment_uid
unseen,5,11,0.6394299864768982
unseen,6,0,0.8526893854141235
unseen,6,1,1.1992701292037964
unseen,6,2,0.6452862620353699
unseen,6,3,1.0920215845108032
unseen,6,4,0.7205509543418884
unseen,6,5,1.0897477865219116
unseen,6,6,0.6264986991882324
unseen,6,7,0.8545713424682617
unseen,6,8,1.2153098583221436
unseen,6,9,0.825690746307373
unseen,6,10,0.8333691954612732
unseen,6,11,1.4069150686264038
unseen,7,0,1.5346832275390625
unseen,7,1,0.7613653540611267
unseen,7,2,0.9286035299301147
unseen,7,3,0.7614473104476929
unseen,7,4,0.3101750910282135
unseen,7,5,1.2979605197906494
unseen,7,6,0.8134418725967407
unseen,7,7,0.40849706530570984
unseen,7,8,1.0509531497955322
unseen,7,9,0.8564768433570862
unseen,7,10,0.5059573650360107
unseen,7,11,0.7052161693572998
unseen,8,0,0.8209446668624878
unseen,8,1,1.026551604270935
unseen,8,2,1.3201581239700317
unseen,8,3,0.8152753710746765
unseen,8,4,1.5802503824234009
unseen,8,5,1.0360190868377686
unseen,8,6,1.8175145387649536
unseen,8,7,1.0562701225280762
unseen,8,8,0.47671008110046387
unseen,8,9,1.065178394317627
unseen,8,10,0.9997708201408386
unseen,8,11,2.293219566345215
unseen,9,0,0.5387096405029297
unseen,9,1,0.7095454931259155
unseen,9,2,0.5872132182121277
unseen,9,3,0.39225029945373535
unseen,9,4,0.8872857093811035
unseen,9,5,0.6212141513824463
unseen,9,6,0.6073476672172546
unseen,9,7,0.4573717415332794
unseen,9,8,0.4182802438735962
unseen,9,9,0.6619684100151062
unseen,9,10,0.43042004108428955
unseen,9,11,1.3938779830932617
unseen,10,0,0.9447934627532959
unseen,10,1,0.7404976487159729
unseen,10,2,0.8942773342132568
unseen,10,3,1.0194140672683716
unseen,10,4,0.9689630270004272
unseen,10,5,1.499281883239746
unseen,10,6,0.8103548884391785
unseen,10,7,0.8429198861122131
unseen,10,8,0.7660639882087708
unseen,10,9,1.1022223234176636
unseen,10,10,0.8892792463302612
unseen,10,11,0.5613410472869873
unseen,11,0,0.4430573582649231
unseen,11,1,0.8390684127807617
unseen,11,2,0.08155672997236252
unseen,11,3,0.8287844061851501
unseen,11,4,0.058930352330207825
unseen,11,5,0.6750347018241882
unseen,11,6,0.24459803104400635
unseen,11,7,0.1487116664648056
unseen,11,8,0.2673743963241577
unseen,11,9,0.26255226135253906
unseen,11,10,0.24845105409622192
unseen,11,11,0.28575050830841064
seen_own_id,0,0,0.8745579123497009
seen_own_id,0,1,1.3034710884094238
seen_own_id,0,2,1.0115772485733032
