group,n,mean_|delta_user|_valence,mean_|delta_user|_arousal
seen,692,0.24174688114364756,0.1273661235406607
unseen,1045,2.6638380496650548e-17,2.1635591544011455e-17
seen_own_id,601,0.2783508182219702,0.14665117718824827
seen_unknown,91,1.738536055044888e-17,2.4648323675142983e-17
is_words,930,0.09051407260409688,0.04710410762558222
not_is_words,807,0.10298730387805953,0.05493251226560815
