group,mass_uid_tokens,mass_cls,mass_content,enrichment_uid,enrichment_content,n_uid_tokens,seq_len
is_words,0.18092606357669316,0.16654919674319604,0.6525247396801108,0.6671239346089542,0.9805700907650692,5.0,18.620430107526882
not_is_words,0.06674776876938461,0.15072933496743476,0.7825228962631806,0.8702765905207123,0.8601807563809742,5.0,70.28748451053283
seen,0.1201944533477112,0.1509281469325971,0.7288773997196917,0.775307676043749,0.9172775553452966,5.0,44.97254335260116
seen_own_id,0.1143487409950203,0.1398882717794522,0.7457629872255275,0.7729152348421492,0.9291195893107376,5.0,46.595166163142
seen_unknown,0.12555437243009537,0.1610505809372812,0.7133950466326234,0.7775012994169611,0.9064196239254602,5.0,43.48476454293629
unseen,0.1329685423986621,0.16467660154309569,0.7023548560582422,0.7523689530280075,0.9295119488153257,5.0,41.06985645933015
