target,n_users,n_texts,mean_abs_delta,mean_abs_user_offset,mean_within_user_sd,between_user_share,within_user_share
valence,7,331,0.3559571255724371,0.36043936669111815,0.20479599057760275,0.47048420563930354,0.5295157943606964
arousal,7,331,0.1601408360739804,0.15437991442697727,0.09167371625876808,0.3160881447843468,0.6839118552156531
