group,mass_uid_tokens,mass_date_tokens,mass_cls,mass_content,enrichment_uid,enrichment_date,enrichment_content,n_uid_tokens,n_date_tokens,seq_len
is_words,0.15236393653096691,0.2129940551775758,0.03597761274025004,0.5986643955512072,0.8314044647543661,0.6298385355958944,1.3761448449721194,5.0,9.154838709677419,27.441935483870967
not_is_words,0.04842996853951923,0.06485341614645432,0.015232219301911978,0.8714843960121145,0.7320701891124766,0.5404197046452442,1.0887449571835144,5.0,9.102850061957868,78.86988847583643
seen,0.10676964546548408,0.13202383301915288,0.026019848699781054,0.735186672815582,0.8573973590061283,0.5683250410093489,1.194587781920354,5.0,9.239884393063583,53.92774566473989
seen_own_id,0.11006588736446744,0.13330218808945524,0.02659086769674525,0.7300410568493321,0.8757937496078638,0.5649459477021592,1.1944254375060948,5.0,9.27620632279534,53.54242928452579
seen_unknown,0.08499995995681364,0.12358107041199129,0.022248613346204326,0.7691703562849908,0.7359003177792817,0.5906419099941941,1.1956599686562868,5.0,9.0,56.472527472527474
unseen,0.10229363724696294,0.1522111824842874,0.026551048349116764,0.7189441319196329,0.7374811697637207,0.6015192453343776,1.2744278862988347,5.0,9.058373205741626,49.61818181818182
