target,n_users,n_texts,mean_abs_delta,mean_abs_user_offset,mean_within_user_sd,between_user_share,within_user_share
valence,7,331,0.1976458202721129,0.23768984960885847,0.13932346061625395,0.44723906805683733,0.5527609319431627
arousal,7,331,0.14544864978466823,0.19741180215165974,0.0883668329557632,0.8231693551998897,0.1768306448001103
