group,layer,head,enrichment_uid,enrichment_date
seen,0,0,0.9309556484222412,0.9949241876602173
seen,0,1,1.3081518411636353,0.9813222885131836
seen,0,2,1.029852271080017,1.012965440750122
seen,0,3,1.1548924446105957,1.006565809249878
seen,0,4,1.3584924936294556,1.0961174964904785
seen,0,5,0.5281230211257935,0.8731904625892639
seen,0,6,0.5806650519371033,0.9773316979408264
seen,0,7,0.9675052165985107,0.9335784912109375
seen,0,8,0.9270537495613098,0.9646437168121338
seen,0,9,0.7627802491188049,1.027510166168213
seen,0,10,1.2123790979385376,1.0613453388214111
seen,0,11,1.084945559501648,1.0215519666671753
seen,1,0,0.37984132766723633,0.77182537317276
seen,1,1,0.5344170928001404,0.6153998374938965
seen,1,2,0.8056594729423523,1.0040500164031982
seen,1,3,0.2534777820110321,0.45565611124038696
seen,1,4,0.34725823998451233,0.6070162653923035
seen,1,5,0.5237665176391602,0.36859583854675293
seen,1,6,0.3616355359554291,0.5456428527832031
seen,1,7,0.9732519388198853,0.6411916017532349
seen,1,8,0.7919320464134216,0.4581202566623688
seen,1,9,0.14058585464954376,0.29649782180786133
seen,1,10,0.19264648854732513,0.38192328810691833
seen,1,11,0.5154174566268921,0.691697895526886
seen,2,0,0.2923300564289093,0.5494811534881592
seen,2,1,0.8211027979850769,0.7033005356788635
seen,2,2,0.1358971893787384,0.13648003339767456
seen,2,3,0.4724244177341461,0.724063515663147
seen,2,4,0.7868826389312744,0.4863325357437134
seen,2,5,0.7638947367668152,0.5285559296607971
seen,2,6,0.2995449900627136,0.5801224708557129
seen,2,7,0.7377867698669434,0.6714248657226562
seen,2,8,0.8222448229789734,0.6841490864753723
seen,2,9,0.5658969879150391,0.5338740348815918
seen,2,10,0.5892005562782288,0.48813197016716003
seen,2,11,0.29868534207344055,0.32044342160224915
seen,3,0,0.38952332735061646,0.31842783093452454
seen,3,1,0.3466235399246216,0.4597744047641754
seen,3,2,0.6722822189331055,0.5911666750907898
seen,3,3,0.9420535564422607,0.6225157380104065
seen,3,4,0.1561620682477951,0.15574967861175537
seen,3,5,0.37886589765548706,0.6088742613792419
seen,3,6,0.41701561212539673,0.5680956244468689
seen,3,7,0.5827715992927551,0.5094430446624756
seen,3,8,0.48423683643341064,0.6622832417488098
seen,3,9,0.3819575309753418,0.812744677066803
seen,3,10,0.1095924898982048,0.2972072660923004
seen,3,11,0.8166018128395081,0.8120805025100708
seen,4,0,0.92943274974823,0.7445375919342041
seen,4,1,1.5052413940429688,1.0408774614334106
seen,4,2,0.4413241744041443,0.5810964703559875
seen,4,3,0.29561033844947815,0.5732965469360352
seen,4,4,0.49367374181747437,0.5090102553367615
seen,4,5,0.6749894022941589,0.5119114518165588
seen,4,6,0.09510118514299393,0.27192023396492004
seen,4,7,0.5063110589981079,0.4078688323497772
seen,4,8,1.0103808641433716,0.9377396702766418
seen,4,9,1.4272223711013794,0.6483748555183411
seen,4,10,1.087516188621521,0.7486721277236938
seen,4,11,0.8988812565803528,0.5257079005241394
seen,5,0,0.2820969820022583,0.48057153820991516
seen,5,1,0.7675921320915222,0.9296441674232483
seen,5,2,0.19221711158752441,0.19172416627407074
seen,5,3,0.687804639339447,0.73888099193573
seen,5,4,1.1944209337234497,0.620682954788208
seen,5,5,0.20740491151809692,0.47298485040664673
seen,5,6,0.20086564123630524,0.14932410418987274
seen,5,7,0.7361923456192017,0.8967800140380859
seen,5,8,0.43504831194877625,0.5572155714035034
seen,5,9,0.41264960169792175,0.5500841736793518
seen,5,10,0.5792300701141357,0.571452260017395
seen,5,11,0.6479706764221191,0.572178840637207
seen,6,0,0.9850322604179382,0.28860384225845337
seen,6,1,1.4630122184753418,0.4934525191783905
seen,6,2,0.7684603333473206,0.12743625044822693
seen,6,3,0.7731491923332214,0.5306063294410706
