layer,head,enrichment_uid,enrichment_date
0,0,0.8792811036109924,0.9967433214187622
0,1,1.2215509414672852,0.9810388088226318
0,2,1.0458437204360962,1.0025672912597656
0,3,1.0734285116195679,1.0102956295013428
0,4,1.2959495782852173,1.0845961570739746
0,5,0.5467860698699951,0.8698264956474304
0,6,0.5686548948287964,0.9843733310699463
0,7,1.0060651302337646,0.9326359033584595
0,8,1.018304467201233,0.9627535939216614
0,9,0.7467269897460938,1.024370551109314
0,10,1.2180230617523193,1.056317925453186
0,11,1.0848230123519897,1.0219075679779053
1,0,0.4264781177043915,0.7255815267562866
1,1,0.6134994029998779,0.6043662428855896
1,2,0.8060224056243896,1.0041254758834839
1,3,0.21918833255767822,0.43767067790031433
1,4,0.3294220566749573,0.6064307689666748
1,5,0.48978668451309204,0.36863836646080017
1,6,0.4203883707523346,0.5290970206260681
1,7,1.1452162265777588,0.6167929172515869
1,8,0.8811094164848328,0.4595314860343933
1,9,0.2281298041343689,0.28543609380722046
1,10,0.22227004170417786,0.3449088931083679
1,11,0.5442889928817749,0.6882327198982239
2,0,0.3623298406600952,0.5450389981269836
2,1,0.8949999213218689,0.6980730891227722
2,2,0.11959867179393768,0.13292764127254486
2,3,0.495003879070282,0.7175648808479309
2,4,0.7992174029350281,0.49307146668434143
2,5,0.7127034068107605,0.5274132490158081
2,6,0.29780179262161255,0.5753188133239746
2,7,0.7754419445991516,0.6708313822746277
2,8,0.8257584571838379,0.6751909852027893
2,9,0.5781847834587097,0.5295526385307312
2,10,0.5413379669189453,0.49560558795928955
2,11,0.27715036273002625,0.3176688253879547
3,0,0.38140416145324707,0.3188031315803528
3,1,0.3206722140312195,0.4340258538722992
3,2,0.592059314250946,0.5954498052597046
3,3,0.8124202489852905,0.614091157913208
3,4,0.12927111983299255,0.15216709673404694
3,5,0.44965916872024536,0.5635687112808228
3,6,0.49680569767951965,0.5422838926315308
3,7,0.572619616985321,0.5024929046630859
3,8,0.5053104162216187,0.6721547245979309
3,9,0.41941675543785095,0.8118400573730469
3,10,0.12035355716943741,0.3093801736831665
3,11,0.6580654978752136,0.7842314839363098
4,0,0.8724774718284607,0.7274557948112488
4,1,1.3040125370025635,1.0112091302871704
4,2,0.4909899830818176,0.562528669834137
4,3,0.32916060090065,0.5255646705627441
4,4,0.5896137952804565,0.48575130105018616
4,5,0.6821743249893188,0.5296996831893921
4,6,0.08895909041166306,0.25657323002815247
4,7,0.5229493975639343,0.39893046021461487
4,8,0.9930012822151184,0.9135571122169495
4,9,1.1885827779769897,0.6449256539344788
