group,n,mean_|delta_user|_valence,mean_|delta_user|_arousal,mean_|delta_date|_valence,mean_|delta_date|_arousal
overall,1737,0.1206696842160134,0.04135375045921931,0.1010298396932003,0.10158979677620399
seen,692,0.3028948576347041,0.10380269443304035,0.09919447236226042,0.08936727740478868
unseen,1045,3.049087763241435e-17,2.155601421709314e-17,0.10224522169608107,0.10968356080014598
seen_own_id,601,0.3487574733497758,0.11951990773321784,0.09960505869797433,0.08731723004043995
seen_unknown,91,2.9680928045009765e-17,2.0854807502402494e-17,0.09648279777144665,0.1029066012066963
is_words,930,0.15477239149121907,0.04228422507263161,0.11850413261982863,0.12696082321626526
not_is_words,807,0.08136916653826705,0.04028145629506388,0.08089217869968811,0.07235181091591032
