mass_uid_tokens,mass_date_tokens,mass_cls,mass_content,enrichment_uid,enrichment_date,enrichment_content,n_uid_tokens,n_date_tokens,seq_len,group
0.010657234117388725,0.0052141486667096615,0.4482973515987396,0.535831265617162,0.16198995858430865,0.04403058874110381,0.667593052244333,5,9,76,overall
0.014292784035205841,0.008504887111485004,0.4486050009727478,0.5285973278805614,0.21153320372104645,0.06992907180554336,0.6629864790366363,5,9,74,overall
0.013333109207451344,0.008803464472293854,0.4456327259540558,0.532230700366199,0.16799717601388695,0.061624251306056976,0.6985527942306362,5,9,63,overall
0.012913161888718605,0.008387655019760132,0.4517609775066376,0.5269382055848837,0.19886269308626653,0.07176104850239225,0.6544232553231619,5,9,77,overall
0.013246665708720684,0.010114245116710663,0.4108477532863617,0.565791335888207,0.18280398678034543,0.07754254589478175,0.7229555958571533,5,9,69,overall
0.01568504422903061,0.010387180373072624,0.44843804836273193,0.5254897270351648,0.19449454843997957,0.07155613145894474,0.6931992143868132,5,9,62,overall
0.01121685653924942,0.026310086250305176,0.3667902648448944,0.595682792365551,0.15030587762594225,0.19586397541893852,0.767514367086383,5,9,67,overall
0.028713546693325043,0.025306815281510353,0.47089922428131104,0.47508041374385357,0.15505315214395524,0.07592044584453106,1.0689309309236705,5,9,27,overall
0.03414540737867355,0.03301560878753662,0.45319005846977234,0.4796489253640175,0.17755611836910246,0.09537842538621691,1.1337156417694958,5,9,26,overall
0.025468530133366585,0.026228588074445724,0.4483787417411804,0.49992414005100727,0.13753006272017956,0.07868576422333717,1.1248293151147664,5,9,27,overall
0.015416541136801243,0.004997992888092995,0.43440312147140503,0.5451823445037007,0.2219981923699379,0.03998394310474396,0.6886513825309905,5,9,72,overall
0.017529793083667755,0.008033246733248234,0.42250117659568787,0.5519357835873961,0.31203031688928606,0.07943988436212142,0.6638146586388953,5,9,89,overall
0.02191067859530449,0.020155586302280426,0.4334574043750763,0.5244763307273388,0.3198959074914456,0.1634842000073857,0.6601167610878574,5,9,73,overall
0.01382307056337595,0.005414200015366077,0.4064122438430786,0.5743504855781794,0.23775681369006635,0.05173568903572029,0.6956921374608933,5,9,86,overall
0.012936258688569069,0.0042018527165055275,0.4635138213634491,0.5193480672314763,0.24061441160738467,0.04341914473722379,0.6192226955452217,5,9,93,overall
0.016899673268198967,0.00397153478115797,0.42835691571235657,0.5507718762382865,0.2636349029839039,0.03441996810336907,0.6819080372474023,5,9,78,overall
0.016129696741700172,0.004901737906038761,0.43764302134513855,0.5413255440071225,0.280656723305583,0.047383466425041355,0.6541016990086064,5,9,87,overall
0.01824406161904335,0.00853274017572403,0.4384528696537018,0.5347703285515308,0.23717280104756355,0.06162534571356243,0.6952014271169901,5,9,65,overall
0.031804971396923065,0.010207533836364746,0.43591535091400146,0.5220721438527107,0.4834355652332306,0.08619695239596897,0.6504505398820658,5,9,76,overall
0.03202611580491066,0.009770406410098076,0.39803558588027954,0.5601678919047117,0.5188230760395527,0.08793365769088268,0.6874787764285099,5,9,81,overall
0.015006864443421364,0.003108824137598276,0.38657882809638977,0.5953054833225906,0.3001372888684273,0.03454249041775863,0.7003593921442243,5,9,100,overall
0.0367831289768219,0.013790406286716461,0.3847864866256714,0.5646399781107903,0.5811734378337859,0.12104912185006672,0.6969774729805067,5,9,79,overall
0.015843994915485382,0.00502081960439682,0.42618367075920105,0.5529515147209167,0.2820231094956398,0.04965032719903522,0.6650362812183999,5,9,89,overall
0.022606778889894485,0.0037881466560065746,0.3621314465999603,0.6114736278541386,0.38431524112820625,0.035776940640062094,0.7425036909657398,5,9,85,overall
0.017021937295794487,0.004722822457551956,0.4281214773654938,0.5501337628811598,0.3132036462426186,0.04827774067719777,0.6573026777281389,5,9,92,overall
0.01198076643049717,0.0065859598107635975,0.46381649374961853,0.5176167800091207,0.20606918260455132,0.0629325048584077,0.6269724377575264,5,9,86,overall
0.011980315670371056,0.005449758376926184,0.4107803702354431,0.5717895557172596,0.22043780833482743,0.055708641186356544,0.6831771315063362,5,9,92,overall
0.01977546699345112,0.017715033143758774,0.37893494963645935,0.5835745502263308,0.28872181810438635,0.1436886021660434,0.7344990028710715,5,9,73,overall
0.025403989478945732,0.00537279574200511,0.28740790486335754,0.6818153099156916,0.4572718106210232,0.0537279574200511,0.8181783718988299,5,9,90,overall
0.014759587123990059,0.004705237690359354,0.43882158398628235,0.5417135911993682,0.23024955913424494,0.040778726649781064,0.6706930176754082,5,9,78,overall
0.023790258914232254,0.037289511412382126,0.38781559467315674,0.5511046350002289,0.34257972836494444,0.298316091299057,0.6961321705266049,5,9,72,overall
0.029585624113678932,0.009321304038167,0.40853074193000793,0.5525623299181461,0.5207069844007493,0.09114163948429954,0.6661025346958473,5,9,88,overall
0.024556051939725876,0.01851314678788185,0.38417428731918335,0.5727565139532089,0.40271925181150436,0.15180780366063118,0.7116065779418655,5,10,82,overall
0.019041653722524643,0.03326424956321716,0.4089911878108978,0.5387029089033604,0.2551581598818302,0.222870472073555,0.7077077430691205,5,10,67,overall
0.011950194835662842,0.0067167505621910095,0.21941427886486053,0.7619187757372856,0.2127134680747986,0.05977908000349998,0.9289146717892934,5,10,89,overall
0.034327007830142975,0.013413417153060436,0.3987910747528076,0.553468500263989,0.5698283299803734,0.11133136237040162,0.6856400824165834,5,10,83,overall
0.02066667005419731,0.011449102312326431,0.43608251214027405,0.5318017154932022,0.2976000487804413,0.0824335366487503,0.6837450627769742,5,10,72,overall
0.02087005414068699,0.010113283060491085,0.4416946768760681,0.5273219859227538,0.28800674714148045,0.06978165311738849,0.6865135288428305,5,10,69,overall
0.017541997134685516,0.01244273129850626,0.2684207260608673,0.7015945455059409,0.3122475489974022,0.11074030855670572,0.8553686924661471,5,10,89,overall
0.012256733141839504,0.006859185174107552,0.28361445665359497,0.697269625030458,0.22797523643821477,0.06379042211920023,0.8421568198419817,5,10,93,overall
0.011828035116195679,0.015353916212916374,0.3999733030796051,0.5728447455912828,0.27677602171897886,0.17964081969112158,0.663592428061189,5,10,117,overall
0.010616835206747055,0.005863074213266373,0.4544351398944855,0.5290849506855011,0.2675442472100258,0.07387473508715629,0.6060427616943013,5,10,126,overall
0.014491569250822067,0.009221699088811874,0.4438057541847229,0.5324809774756432,0.24056004956364632,0.07654010243713856,0.659640613887737,5,10,83,overall
0.011301018297672272,0.006380836945027113,0.43438398838043213,0.5479341563768685,0.21923975497484208,0.061894118366763,0.6561680638093363,5,10,97,overall
0.021322358399629593,0.015669452026486397,0.4145415723323822,0.5484666172415018,0.27292618751525877,0.10028449296951295,0.731288822988669,5,10,64,overall
