model,target,n_users,n_texts,mean_abs,mean_offset,within_sd,within_share
User-aware,valence,27,601,0.2783508182219702,0.23199854969674316,0.19370284549295919,0.4322597799074839
User-aware,arousal,27,601,0.14665117718824827,0.10297755351103655,0.11153759271415338,0.37641691074155564
Combined,valence,27,601,0.3019076054140975,0.2788022982401256,0.15241523416019048,0.3930415405849141
Combined,arousal,27,601,0.1198487880557602,0.08084567056983208,0.0812141230677265,0.417166179949747
