layer,head,enrichment_uid,enrichment_date
0,0,0.9202741980552673,0.9966967105865479
0,1,1.1671003103256226,0.9993441700935364
0,2,0.8946830630302429,1.0380198955535889
0,3,1.0789821147918701,1.010316014289856
0,4,1.302839756011963,1.0922354459762573
0,5,0.5200563669204712,0.9088398814201355
0,6,0.527539849281311,0.9753187894821167
0,7,0.9047260284423828,0.9311735033988953
0,8,0.839972198009491,0.9989104866981506
0,9,0.650505006313324,1.0445841550827026
0,10,1.0719233751296997,1.0857517719268799
0,11,1.0897266864776611,1.021461009979248
1,0,0.3555201590061188,0.8462473750114441
1,1,0.508450984954834,0.6864278316497803
1,2,0.8059046268463135,1.0035687685012817
1,3,0.19735154509544373,0.4511925280094147
1,4,0.32010510563850403,0.6317166090011597
1,5,0.5387271642684937,0.3424864411354065
1,6,0.35301482677459717,0.48470571637153625
1,7,0.9124564528465271,0.6064056158065796
1,8,0.8420065641403198,0.384008526802063
1,9,0.1524004489183426,0.14293934404850006
1,10,0.1608418971300125,0.390083909034729
1,11,0.46417778730392456,0.6518084406852722
2,0,0.13361647725105286,0.339188814163208
2,1,0.7577975392341614,0.663102924823761
2,2,0.15122665464878082,0.15813666582107544
2,3,0.421791136264801,0.5797874331474304
2,4,0.6876800656318665,0.4771513342857361
2,5,0.5498237609863281,0.4585398733615875
2,6,0.3061990439891815,0.5994986295700073
2,7,0.4237152934074402,0.478817880153656
2,8,0.7171542048454285,0.6802183985710144
2,9,0.659959614276886,0.6323320865631104
2,10,0.609273374080658,0.4629136621952057
2,11,0.22860033810138702,0.2641531527042389
3,0,0.3934684693813324,0.4324966073036194
3,1,0.34078434109687805,0.3884919285774231
3,2,0.8310062885284424,0.4604111909866333
3,3,0.7653701901435852,0.5551462769508362
3,4,0.297419011592865,0.407476544380188
3,5,0.31240594387054443,0.664954423904419
3,6,0.6247683167457581,0.6520557999610901
3,7,0.504455029964447,0.3916444182395935
3,8,0.4084312319755554,0.6097381711006165
3,9,0.38736918568611145,0.8211452960968018
3,10,0.13827741146087646,0.37645283341407776
3,11,0.5936089754104614,0.9152132868766785
4,0,1.0257759094238281,0.6401971578598022
4,1,1.663130760192871,0.9342751502990723
4,2,0.5273441672325134,0.6522249579429626
4,3,0.36598876118659973,0.6713559627532959
4,4,0.46180102229118347,0.4325529634952545
4,5,0.7945218682289124,0.44165074825286865
4,6,0.15211157500743866,0.5296500325202942
4,7,0.710364818572998,0.45450901985168457
4,8,1.416900634765625,0.9521000981330872
4,9,2.34407639503479,0.9904334545135498
4,10,1.0631804466247559,0.7109731435775757
4,11,1.0607378482818604,0.6196860671043396
5,0,0.37407881021499634,0.6218512654304504
5,1,0.705249011516571,0.8909413814544678
5,2,0.25012680888175964,0.46535953879356384
5,3,0.688881516456604,0.5996567606925964
5,4,1.7513182163238525,0.6325913667678833
5,5,0.283970445394516,0.7923679351806641
5,6,0.21073149144649506,0.39650198817253113
5,7,0.6701294183731079,0.9020223021507263
5,8,0.4265836179256439,0.5169619917869568
5,9,0.36081746220588684,0.6470799446105957
5,10,0.9089226126670837,0.6391035318374634
5,11,0.6772331595420837,0.49552321434020996
6,0,1.2772239446640015,0.3925909399986267
6,1,3.423572301864624,0.3267156779766083
6,2,0.8069704174995422,0.3985007405281067
6,3,0.819536566734314,0.5000081062316895
6,4,0.4773378372192383,0.6413248181343079
6,5,0.4811297655105591,0.44162291288375854
6,6,0.33838289976119995,0.43101754784584045
6,7,0.56907057762146,0.4411635398864746
6,8,2.1896655559539795,0.4910831153392792
6,9,1.0087857246398926,0.28144553303718567
6,10,0.6620145440101624,0.469076931476593
6,11,2.370358943939209,0.50471031665802
7,0,1.2288662195205688,0.8551449775695801
7,1,0.7532398700714111,0.6094406843185425
7,2,0.8558943867683411,0.2317894548177719
7,3,0.32493481040000916,0.310055673122406
7,4,0.40136078000068665,0.3580467700958252
7,5,0.9857620596885681,0.5613939762115479
7,6,0.7174730896949768,0.9209213256835938
7,7,0.6283338069915771,0.1827072650194168
7,8,1.108630657196045,1.0084627866744995
7,9,0.5152792930603027,0.2347242385149002
7,10,0.5486364960670471,0.3930117189884186
7,11,0.6195678114891052,0.558713972568512
8,0,0.6268369555473328,0.6032013297080994
8,1,0.7823489904403687,0.4585854709148407
8,2,0.6006092429161072,0.3610830307006836
8,3,0.5038114190101624,0.4011983275413513
8,4,0.9215616583824158,0.23221802711486816
8,5,1.4000154733657837,0.45371848344802856
8,6,1.4711813926696777,0.4532184898853302
8,7,1.1517610549926758,0.8580043911933899
8,8,0.440174400806427,0.18771159648895264
8,9,0.9860990643501282,0.6069441437721252
8,10,0.6162224411964417,0.4775674045085907
8,11,0.8513730764389038,0.7644404172897339
9,0,0.6021713018417358,0.2797846496105194
9,1,0.741557776927948,0.5061719417572021
9,2,0.5202785134315491,0.4872615933418274
9,3,0.5204264521598816,0.27324795722961426
9,4,1.0784169435501099,0.4608031213283539
9,5,0.9957045316696167,0.38962724804878235
9,6,0.7974010705947876,0.813709020614624
9,7,0.8528809547424316,0.5815826058387756
9,8,0.5000448822975159,0.38011080026626587
9,9,0.656711220741272,0.6097280979156494
9,10,0.972075343132019,0.369619756937027
9,11,0.949245810508728,0.5254751443862915
10,0,1.133108377456665,0.3551570475101471
10,1,1.0270123481750488,0.39352115988731384
10,2,1.0686312913894653,0.4407529830932617
10,3,1.2340513467788696,0.4212915599346161
10,4,0.7665343284606934,0.41476190090179443
10,5,1.736966848373413,0.6302870512008667
10,6,0.5171727538108826,0.36716121435165405
10,7,1.533560872077942,0.1783255636692047
10,8,0.7709349989891052,0.49576056003570557
10,9,1.5763014554977417,0.559119462966919
10,10,0.7907941341400146,0.4136788845062256
10,11,0.6760889291763306,0.4506930410861969
11,0,0.10533763468265533,0.00827939622104168
11,1,0.552385151386261,0.10805733501911163
11,2,0.020658597350120544,0.029705489054322243
11,3,0.6474381685256958,0.12394826114177704
11,4,0.010962441563606262,0.004796934779733419
11,5,0.16456648707389832,0.037085119634866714
11,6,0.09929104149341583,0.3244461417198181
11,7,0.10376506298780441,0.18958792090415955
11,8,0.04083912447094917,0.013111487030982971
11,9,0.2920202910900116,0.41697224974632263
11,10,0.12484320253133774,0.0226213950663805
11,11,0.11685823649168015,0.030859168618917465
