group,n,mean_|delta_date|_valence,mean_|delta_date|_arousal
seen,692,0.21279317593185845,0.16062447533006052
unseen,1045,0.2094951610833977,0.16977853885891905
seen_own_id,331,0.22490595648588552,0.16971762807550206
seen_unknown,361,0.2016869976399389,0.1522869862476751
is_words,930,0.285506991407163,0.22985104983972926
not_is_words,807,0.12472592201776332,0.09270041348825785
