mass_date_tokens,mass_cls,mass_content,enrichment_date,enrichment_content,n_date_tokens,seq_len,group
0.013021256774663925,0.4255317747592926,0.5614469684660435,0.1027232478890154,0.6534874550998211,9,71,seen
0.019434941932559013,0.41155049204826355,0.5690145660191774,0.14900122148295245,0.6654577128020889,9,69,seen
0.018157774582505226,0.39809271693229675,0.583749508485198,0.11701676953170034,0.7053639894196143,9,58,seen
0.014668678864836693,0.4124705493450165,0.5728607717901468,0.11734943091869354,0.665257670465977,9,72,seen
0.023444917052984238,0.32386091351509094,0.6526941694319248,0.16671941015455458,0.7735634600674665,9,64,seen
0.016164397820830345,0.3886766731739044,0.5951589290052652,0.10237451953192553,0.7217884883680876,9,57,seen
0.04575735703110695,0.24378426373004913,0.7104583792388439,0.3152173484365145,0.8470849906309292,9,62,seen
0.058087486773729324,0.455470472574234,0.48644204065203667,0.1419916343357828,0.8918104078620673,9,22,seen
0.09244418144226074,0.4361632168292999,0.47139260172843933,0.21570309003194174,0.8999313305724751,9,21,seen
0.1351928859949112,0.3742828369140625,0.4905242770910263,0.3304714990986718,0.8992945080002149,9,22,seen
0.03353571891784668,0.3195273280143738,0.6469369530677795,0.24965479638841417,0.7604346641323022,9,67,seen
0.015831012278795242,0.39743366837501526,0.5867353193461895,0.14775611460208893,0.6660238760145935,9,84,seen
0.03801668807864189,0.3638280928134918,0.5981552191078663,0.2872371988164054,0.7012854292988777,9,68,seen
0.0178053118288517,0.32847458124160767,0.6537201069295406,0.1602478064596653,0.745793361426659,9,81,seen
0.011188320815563202,0.46577027440071106,0.5230414047837257,0.10939691464106241,0.5900979951406137,9,88,seen
0.013261370360851288,0.3961612284183502,0.5905774012207985,0.10756444848246045,0.6843198458590205,9,73,seen
0.011576948687434196,0.3988499939441681,0.5895730573683977,0.1054788658188449,0.6714582042251196,9,82,seen
0.015479221940040588,0.4185386896133423,0.5659820884466171,0.10319481293360393,0.6791785061359406,9,60,seen
0.01740897074341774,0.43918660283088684,0.5434044264256954,0.13733743586473995,0.6324871192823668,9,71,seen
0.020827729254961014,0.37467098236083984,0.6045012883841991,0.17587860259744856,0.6960923926848354,9,76,seen
0.01180722750723362,0.3860386908054352,0.6021540816873312,0.1246318459096882,0.672995738356429,9,95,seen
0.023767322301864624,0.34175342321395874,0.6344792544841766,0.19542020559310913,0.7336166379973292,9,74,seen
0.01859991066157818,0.39873459935188293,0.5826654899865389,0.17359916617472967,0.6614040697144495,9,84,seen
